INSERT
aaronic 亚伦的
abacist 用算盘者
aback 向后地
abactinal 无触角的
abacus 算盘
abandonment 放弃
abas 打倒
abase 降低
abasement 降低
abask 暖洋洋地
abatement 消除
abaxial 离轴的
abaya =aba
abba 神父
abbreviator 缩写者
abd 准博士
abdiel 神仆
abdomen 腹腹部
abdominal 腹部的
abductor 诱拐者
abel 亚伯
abernethy 硬饼干
aberrant 异常的
aberration 失常
abettor 教唆犯
abiogenesis 自然发生
abiological 非生物的
abiosis 无生命
ablactate 使断奶
ablactation 断奶
ablate 融化
ablatival 离格的
ablution 清洗
abnegate 放弃
abnegation 放弃
abolisher 废除者
aborning 产生中的
abortus 流产胎
abrasion 磨损
abrim 充满着
abscessed 长脓疮的
abscissa 横坐标
absentation 缺席
absentmindedly 茫然地
absinth 苦艾酒
absinthin 苦艾素
absinthine 像苦艾的
absolutization 绝对化
absolvable 可赦免的
absolve 宣布免除
absolvent 赦免的
absord 吸收
absorption 吸收
absquatulater 开小差者
absquatulation 开小差
abstention 节制
abstentious 有节制的
abstersion 洗涤
abstraction 提取
absurdism 荒诞主义
abundantly 丰富地
abuttals 地界
abutting 邻接的
abyss 深渊
academical 大学制服
academicals 大学制服
acalycine 无花萼的
acantha 脊椎刺
accelerant 促进剂
accelerated 加速的
acceleration 加速度
accelerometer 加速计
acceptability 可接受性
acceptation 意义
accessable 可接近的
accessibly 可接近地
accidence 入门
acclivous 向上斜的
accommodator 调解人
accompanist 伴奏者
accomplishment 造诣
accordable 可一致的
accordant 一致的
according 依照
accordionist 手风琴师
accostable 易接近的
accouche 接生
accountantship 会计职务
accretion 增长
accumbent 横卧的
accusant 控诉者
accused 被告
accuser 原告
accusingly 责难地
accustom 使习惯于
accutron 电子手表
aceraceous 槭树科的
acescent 变酸的
acestoma 肉芽块
acetabuliform 碟状的
acetanilide 退热冰
achromate 色盲患者
achromatophil 拒色组织
achromatophilia 拒染性
achromatopsia 色盲
achromatopsy 完全色盲
achromobacter 无色菌
achy 疼痛的
acidifier 成酸剂
acidimeter 酸比重计
acidophilic 嗜酸的
acidproof 耐酸的
aciduric 耐酸的
aciform 尖如针的
acknowledged 公认的
acknowledgedly 公认地
acold 寒冷的
aconitine 乌头碱
acotyledonous 无子叶的
acoumeter 听力计
acousma 幻听
acoustician 声学家
acousticon 助听器
acoustics 声学
acquiescence 默许
acquittal 宣判无罪
acranial 缺颅骨的
acridness 辛辣苦
acrobatics 杂技
acrobatism 杂技
acrogen 顶生植物
acrogenous 顶生的
acryl 压克力
actable 能实行的
actin 肌动蛋白
actinicity 光化性
actinium [化]锕
actinochemistry 光化学
actinogram X光像
actinograph 辐射仪
